#combination,result
3d glasses+printer,3d printer
8 ball+ball,pool ball
8 ball+magic,magic 8 ball
aardvark+wolf,aardwolf
aardwolf+big,jackal
accordion+energy,music
accordion+human,musician
acid rain+lake,pollution
acid rain+ocean,pollution
acid rain+planet,venus
acid rain+rain,pollution
acid rain+sea,pollution
acid rain+water,pollution
acid+air,acid rain
acid+earth,landslide
acid+energy,battery
acid+hill,landslide
acid+metal,salt
acid+mountain,landslide
acid+rain,acid rain
acorn+earth,tree
acorn+soil,tree
acorn+time,tree
africa+bird,ostrich
africa+lemur,monkey
africa+small,madagascar
africa+squirrel,monkey
africa+tree,monkey
ai+machine,personal assistant
ai+smartphone,personal assistant
air conditioner+air,cold
air+air,pressure
air+bacteria,sickness
air+beetle,insect
air+cold,sickness
air+corpse,flesh
air+darkness,space
air+explosion,firework
air+fish,pufferfish
air+human,skydiver
air+lizard,bird
air+machine,plane
air+mud,brick
air+planet,gas giant
air+puddle,steam
air+smoke,pollution
air+space,gas giant
air+weapon,bow
air+wine,vinegar
air+worm,butterfly
airport+road,runway
alchemist+boulder,philosopher's stone
alchemist+cloud,god
alchemist+energy,gold
alchemist+factory,alchemy
alchemist+heaven,god
alchemist+house,alchemy
alchemist+magic,gold
alchemist+stone,philosopher's stone
alchemist+wall,alchemy
alchemy+human,alchemist
alcohol+air,vinegar
alcohol+berry,liquor
alcohol+black,ink
alcohol+box,keg
alcohol+car,death
alcohol+explosion,molotov cocktail
alcohol+flower,perfume
alcohol+fruit,cocktail
alcohol+house,bar
alcohol+human,alcoholic
alcohol+oxygen,vinegar
alcohol+pirate,rum
alcohol+time,beer
alcohol+water,vodka
alcohol+wheat,whiskey
alcohol+worm,tequila
alcoholic+boat,pirate
alcoholic+car,death
alcoholic+house,bar
alcoholic+ship,pirate
algae+algae,kelp
algae+big,kelp
algae+carbon dioxide,oxygen
algae+element,iodine
algae+fire,iodine
algae+fish,sushi
algae+lake,swamp
algae+light,oxygen
algae+moss,swamp
algae+ocean,kelp
algae+pond,swamp
algae+sea,kelp
algae+seaweed,kelp
algae+star,oxygen
alien+air,ufo
alien+alien,baby
alien+field,crop circle
alien+plane,ufo
alien+rocket,ufo
alien+tool,crop circle
alien+wheat,crop circle
alligator+alligator,egg
alligator+big,crocodile
alligator+evil,crocodile
alligator+opposite,crocodile
alligator+snake,anaconda
alpaca+big,llama
alpaca+dog,sheepdog
alpaca+horse,llama
aluminum foil+microwave,explosion
aluminum+fire,thermite
aluminum+glass,mirror
aluminum+microwave,explosion
aluminum+paper,aluminum foil
aluminum+proton,silicon
ambulance+house,hospital
ambulance+mask,medical mask
ambulance+paper,medical mask
ambulance+plastic,medical mask
ambulance+wall,hospital
ambulance+wool,medical mask
america+bird,eagle
america+boat,pilgrim
america+human,pilgrim
america+king,president
america+queen,president
america+statue,statue of liberty
america+united kingdom,pilgrim
ammunition clip+ammunition clip,ammunition magazine
anchor+house,boathouse
anchor+human,sailor
anchovy+mosquito,leech
anchovy+shell,clam
anchovy+small,shrimp
anchovy+snail,clam
angel+air,heaven
angel+angel,baby
angel+baby,cupid
angel+big,god
angel+box,present
angel+clothing,halo
angel+energy,god
angel+god,cupid
angel+hell,demon
angel+immortality,god
angel+opposite,demon
angel+sound,harp
angel+stick,cross
angel+time,immortality
angel+universe,heaven
angel+water,holy water
animal+air,bird
animal+animal,animal
animal+archipelago,dinosaur
animal+armor,armadillo
animal+arrow,blood
animal+atmosphere,bird
animal+bacteria,virus
animal+beach,crab
animal+beef,cow
animal+beehive,bee
animal+beeswax,bee
animal+big,elephant
animal+bird,cat
animal+blood,bat
animal+bomb,corpse
animal+bone,dog
animal+bow,blood
animal+box,zoo
animal+can,goat
animal+canada,moose
animal+carrot,rabbit
animal+chicken,fox
animal+city,squirrel
animal+cloud,sheep
animal+computer mouse,mouse
animal+corn,deer
animal+crossbow,blood
animal+dam,beaver
animal+earth,human
animal+egg,chicken
animal+evil,demon
animal+explosion,corpse
animal+feather,bird
animal+fence,zoo
animal+field,cow
animal+fire,ash
animal+flower,bee
animal+forest,bear
animal+frog,kangaroo
animal+garden,bee
animal+grain,goat
animal+grass,cow
animal+ground beef,cow
animal+hay,horse
animal+hole,mole
animal+honey,bear
animal+house,zoo
animal+human,hunter
animal+hunter,meat
animal+idea,evolution
animal+insect,badger
animal+knight,hunter
animal+knowledge,evolution
animal+lava,ash
animal+leather,cow
animal+lettuce,rabbit
animal+life,human
animal+lilypad,frog
animal+milk,cat
animal+mirror,chameleon
animal+mountain,llama
animal+mouse,cat
animal+mud,pig
animal+museum,zoo
animal+music,bird
animal+mutton,sheep
animal+nail,porcupine
animal+nose,dog
animal+nuke,ash
animal+opposite,human
animal+oxygen,carbon dioxide
animal+planet,human
animal+plant,evolution
animal+poison,death
animal+pollen,bee
animal+pork,pig
animal+power line,bird
animal+rabbit,fox
animal+radiation,death
animal+river,beaver
animal+sand,lizard
animal+scientist,evolution
animal+sea,fish
animal+seed,chicken
animal+sheep,wolf
animal+shovel,mole
animal+small,insect
animal+snake,giraffe
animal+soil,insect
animal+space,alien
animal+spear,blood
animal+steak,cow
animal+stick,snake
animal+stone,egg
animal+stuffed animal,taxidermy animal
animal+time,human
animal+tool,meat
animal+town,squirrel
animal+truffle,pig
animal+tusk,elephant
animal+village,cat
animal+water,fish
animal+wax,bee
animal+weapon,meat
animal+wood,beaver
animal+wool,sheep
animal+x-ray,dolphin
animal+yard,zoo
animal+yarn,cat
anime+book,manga
anime+story,manga
ant+animal,anteater
ant+ant,centipede
ant+bird,antlion
ant+earth,anthill
ant+fly,bee
ant+house,anthill
ant+king,queen ant
ant+lion,antlion
ant+queen,queen ant
ant+raccoon,anteater
ant+sand,anthill
ant+soil,anthill
ant+worm,centipede
antarctica+animal,polar bear
antarctica+bear,polar bear
antarctica+bird,penguin
antarctica+dog,husky
antarctica+fox,arctic fox
antarctica+heat,glacier
antarctica+star,glacier
anteater+egg,echidna
anteater+platypus,echidna
antelope+forest,deer
antimatter+human,death
anvil+human,blacksmith
apiary+human,beekeeper
apiary+tree,beehive
apple+air,air freshener
apple+berry,cranberry
apple+bread,apple pie
apple+cookie dough,apple pie
apple+dough,apple pie
apple+earth,beet
apple+heat,apple pie
apple+oven,apple pie
apple+pie,apple pie
apple+potato,beet
apple+pressure,juice
apple+vegetable,beet
aquarium+animal,fish
aquarium+aquarium,museum
aquarium+small,fishbowl
arcade machine+house,arcade
arcade machine+small,video game console
arcade machine+television,video game console
arcade+electricity,arcade machine
arcade+machine,arcade machine
archer+animal,hunter
archipelago+archipelago,planet
archipelago+big,planet
archipelago+continent,planet
archipelago+earthquake,continent
archipelago+ocean,planet
archipelago+pressure,continent
archipelago+time,continent
argon+proton,potassium
arm+arm,torso
arm+machine,prosthetic limb
arm+metal,prosthetic limb
arm+opposite,leg
armadillo+asia,pangolin
armadillo+big,pangolin
armadillo+blade,pangolin
armor+cart,tank
armor+cat,armadillo
armor+dog,armadillo
armor+human,knight
armor+insect,cockroach
armor+life,robot
armor+police,bulletproof vest
armor+truck,tank
arrow+baby,cupid
arrow+bag,quiver
arrow+blade,shuriken
arrow+god,cupid
arrow+leather,quiver
arrow+metal,shuriken
arrow+weapon,bow
ash+air,smoke
ash+atmosphere,pollution
ash+bird,phoenix
ash+fire,gunpowder
ash+glass,ash tray
ash+holy water,human
ash+house,crematorium
ash+knowledge,magic
ash+life,ghost
ash+metal,urn
ash+plastic,ash tray
ash+water,ink
ash+wax,soap
ash+wizard,magic
asia+island,japan
asparagus+asparagus,celery
asparagus+big,leek
asparagus+leaf,leek
asparagus+small,chive
asphalt+asphalt,road
asphalt+pressure,oil
astronaut+house,space station
atmosphere+earth,planet
atmosphere+electricity,lightning
atmosphere+energy,wind
atmosphere+glass,scuba tank
atmosphere+house,space station
atmosphere+lightning,ionosphere
atmosphere+star,ozone layer
atmosphere+steam,cloud
atmosphere+village,space station
atmosphere+wall,space station
atmosphere+water,rain
atom+atom,molecule
atom+blade,nuke
atom+bomb,nuke
atom+human,scientist
atom+idea,quantum physics
atom+opposite,antimatter
australia+island,new zealand
australia+small,new zealand
author+computer,book
author+energy,book
author+idea,book
author+paper,book
author+pen,book
author+pencil,book
author+typewriter,book
avalanche+city,ruins
avalanche+country,death
avalanche+human,death
avalanche+mud,mudslide
avalanche+stone,pebble
avalanche+town,ruins
avalanche+village,ruins
axe+bamboo,stick
axe+grass,scythe
axe+stick,spear
axe+tree,wood
axe+wheat,scythe
axe+wood,stick
aye-aye+animal,lemur
baby+bag,kangaroo
baby+big,child
baby+bird,stork
baby+blade,blood
baby+death,corpse
baby+god,cupid
baby+gold,prince
baby+house,dollhouse
baby+nice,angel
baby+pond,tadpole
baby+small,fetus
baby+time,child
baby+toy,rattle
bacon+human,feces
bacteria+bacteria,cell
bacteria+boat,barnacle
bacteria+doctor,medicine
bacteria+earth,animal
bacteria+electricity,jellyfish
bacteria+energy,bacteria
bacteria+evil,cancer
bacteria+evolution,cell
bacteria+glass,microscope
bacteria+glasses,microscope
bacteria+grape,wine
bacteria+heat,yeast
bacteria+knowledge,medicine
bacteria+lake,plankton
bacteria+lightning,jellyfish
bacteria+milk,yogurt
bacteria+mud,plant
bacteria+ocean,plankton
bacteria+opposite,medicine
bacteria+paper,medical mask
bacteria+pirate ship,barnacle
bacteria+plankton,fish
bacteria+plastic,medical mask
bacteria+pond,plankton
bacteria+rain,sickness
bacteria+sailboat,barnacle
bacteria+sand,ant
bacteria+scientist,medicine
bacteria+sea,plankton
bacteria+ship,barnacle
bacteria+steamboat,barnacle
bacteria+time,evolution
bacteria+whale,barnacle
bacteria+wool,medical mask
badger+blade,wolverine
bag+airport,suitcase
bag+beach,suitcase
bag+dust,vacuum
bag+fish,jellyfish
bag+life,jellyfish
bag+machine,vacuum
bag+magnesium,suitcase
bag+oxygen,lungs
bag+plane,suitcase
bag+small,wrapper
bagel+heater,toaster
bagel+machine,toaster
bagel+metal,toaster
bagel+steel,toaster
bagel+toaster,toast
bagpipes+energy,music
bagpipes+human,musician
baguette+cheese,breadstick
baguette+country,france
baguette+fire,breadstick
baguette+garlic,breadstick
baguette+heat,breadstick
baguette+oven,breadstick
baguette+tomato sauce,breadstick
baker+baker,chef
baker+heater,oven
baker+house,bakery
baker+tool,oven
bakery+heater,oven
bakery+tool,oven
ball+america,football
ball+beach,beach ball
ball+black,8 ball
ball+broccoli,cabbage
ball+cauliflower,cabbage
ball+england,soccer ball
ball+fire,fireball
ball+green,tennis ball
ball+gunpowder,bomb
ball+metal,bowling ball
ball+net,basketball
ball+orange,basketball
ball+stick,baseball
